,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
43,0.88,1.08,1.15,1.11,1.21,0.87,1.07,1.0,1.0,1.0,0.9,0.95,1.1,1.0,1.04,30.6,87.0
44,0.88,1.08,1.15,1.0,1.06,0.87,1.07,1.0,1.0,1.0,0.9,0.95,1.0,0.91,1.04,35.0,106.0
45,0.88,1.08,1.15,1.0,1.06,0.87,1.07,1.0,1.0,0.86,0.9,0.95,1.0,1.0,1.04,73.0,126.0
46,0.75,0.94,1.3,1.0,1.0,0.87,0.87,0.71,0.82,0.7,1.1,1.07,1.1,1.0,1.04,23.0,36.0
47,0.88,0.94,0.85,1.0,1.0,0.87,1.0,1.19,0.91,1.17,0.9,0.95,1.1,1.0,1.04,464.0,1272.0
48,1.0,1.0,0.85,1.0,1.0,1.1,0.87,0.71,1.0,0.7,1.1,1.0,0.82,0.91,1.0,91.0,156.0
49,1.15,1.0,1.0,1.3,1.21,1.1,0.87,0.86,1.0,0.86,1.1,1.0,1.0,1.0,1.0,24.0,176.0
50,0.88,1.0,1.0,1.0,1.0,1.1,1.15,1.19,1.0,1.42,1.0,0.95,1.24,1.1,1.04,10.0,122.0
51,0.88,0.94,0.85,1.0,1.06,1.15,1.0,1.0,1.0,1.0,1.1,1.07,1.24,1.1,1.0,8.2,41.0
52,0.88,0.94,1.15,1.11,1.21,1.3,1.0,0.71,1.0,0.7,1.1,1.07,1.0,1.1,1.08,5.3,14.0
53,1.0,0.94,1.0,1.0,1.06,1.15,0.87,1.0,0.82,1.0,1.0,0.95,0.91,1.1,1.0,4.4,20.0
54,0.88,0.94,0.7,1.0,1.0,0.87,0.87,0.86,0.82,1.17,0.9,0.95,1.1,1.0,1.0,6.3,18.0
55,1.15,0.94,1.3,1.3,1.21,1.1,1.0,0.86,0.91,1.0,1.1,1.07,1.1,1.1,1.08,27.0,958.0
56,1.0,0.94,1.15,1.11,1.21,1.3,1.0,1.0,1.0,1.0,1.1,1.07,1.1,1.1,1.23,17.0,237.0
57,1.4,0.94,1.3,1.66,1.21,1.1,1.0,0.71,0.82,0.7,0.9,0.95,0.91,1.0,1.0,25.0,130.0
58,1.0,0.94,1.15,1.11,1.06,1.1,0.87,1.0,1.0,1.0,1.0,1.0,0.91,1.0,1.0,23.0,70.0
59,1.15,0.94,1.3,1.11,1.06,1.1,1.0,0.86,1.13,0.86,1.1,1.07,1.1,1.1,1.08,6.7,57.0
60,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,1.0,0.86,0.9,1.0,0.82,1.0,1.0,28.0,50.0
61,0.88,0.94,1.3,1.11,1.21,1.15,1.0,0.71,0.82,0.7,1.21,1.14,0.91,1.24,1.0,9.1,38.0
62,1.0,0.94,1.15,1.0,1.0,1.1,0.87,0.71,0.82,0.86,1.0,1.0,0.82,1.0,1.0,10.0,15.0
63,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,25.9,117.6
64,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,24.6,117.6
65,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,7.7,31.2
66,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,8.2,36.0
67,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,9.7,25.2
68,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,2.2,8.4
69,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,3.5,10.8
70,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,66.6,352.8
71,1.15,0.94,1.15,1.66,1.56,0.87,1.07,0.86,0.91,0.86,1.0,0.95,0.91,0.91,1.0,7.5,72.0
72,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.82,0.7,1.0,0.95,1.0,1.0,1.0,20.0,72.0
73,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.82,0.86,1.0,0.95,1.0,1.0,1.0,6.0,24.0
74,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.82,0.7,1.0,0.95,1.0,1.0,1.0,100.0,360.0
75,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.82,1.0,1.0,1.07,1.0,1.0,1.0,11.3,36.0
76,1.0,0.94,1.15,1.0,1.0,1.15,0.87,0.86,0.91,0.86,1.1,1.14,1.0,1.0,1.0,100.0,215.0
77,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.82,0.86,1.0,0.95,1.0,1.0,1.0,20.0,48.0
78,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,1.0,1.0,1.0,1.14,1.0,1.0,1.0,100.0,360.0
79,1.0,0.94,1.15,1.0,1.56,0.87,0.87,0.86,0.82,0.7,1.0,0.95,1.0,1.0,1.0,150.0,324.0
80,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.0,1.0,31.5,60.0
81,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.82,0.86,1.0,0.95,1.0,1.0,1.0,15.0,48.0
82,1.0,0.94,1.15,1.0,1.56,0.87,0.87,0.86,0.91,1.0,1.0,0.95,1.0,1.0,1.0,32.5,60.0
83,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,19.7,60.0
84,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,66.6,300.0
85,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,29.5,120.0
86,1.15,1.0,1.0,1.11,1.0,1.1,1.0,1.0,0.91,0.86,1.0,1.0,1.0,1.0,1.0,15.0,90.0
87,1.15,1.0,1.15,1.0,1.0,1.1,1.0,1.0,0.91,0.86,1.0,1.0,1.0,1.0,1.0,38.0,210.0
88,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,0.91,0.86,1.0,1.0,1.0,1.0,1.0,10.0,48.0
89,1.0,1.16,1.15,1.3,1.21,0.87,1.07,0.71,0.91,1.0,1.1,0.95,0.82,0.83,1.08,15.4,70.0
90,1.0,1.16,1.15,1.3,1.21,0.87,1.07,0.71,0.91,1.0,1.1,0.95,0.82,0.83,1.08,48.5,239.0
91,1.0,1.16,1.15,1.3,1.21,0.87,1.07,0.71,0.91,1.0,1.1,0.95,0.82,0.83,1.08,16.3,82.0
92,1.0,1.16,1.15,1.3,1.21,0.87,1.07,0.71,0.91,1.0,1.1,0.95,0.82,0.83,1.08,12.8,62.0
93,1.0,1.16,1.15,1.3,1.21,0.87,1.07,0.71,0.91,1.0,1.1,0.95,0.82,0.83,1.08,32.6,170.0
94,1.0,1.16,1.15,1.3,1.21,0.87,1.07,0.71,0.91,1.0,1.1,0.95,0.82,0.83,1.08,35.5,192.0
95,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,5.5,18.0
96,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,10.4,50.0
97,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,14.0,60.0
98,1.15,1.0,1.15,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.5,42.0
99,1.0,1.0,1.15,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,60.0
100,1.0,1.0,1.15,1.0,1.0,1.1,1.0,1.0,1.0,0.86,1.0,0.95,0.91,0.91,1.0,90.0,444.0
101,1.0,1.0,1.15,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,42.0
102,1.0,1.0,1.15,1.11,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,114.0
103,1.0,1.08,1.15,1.3,1.06,0.87,1.07,0.86,1.0,0.86,1.1,0.95,0.91,1.0,1.08,177.9,1248.0
104,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,0.86,1.0,1.0,0.91,1.24,1.0,302.0,2400.0
105,1.0,1.08,0.85,1.0,1.0,1.15,1.0,0.86,0.91,1.0,1.0,1.0,0.91,0.91,1.0,282.1,1368.0
106,1.15,1.08,0.85,1.0,1.0,1.1,1.07,0.86,0.91,1.0,1.0,1.0,0.91,1.0,1.0,284.7,973.0
107,1.15,1.08,1.0,1.0,1.0,0.87,0.87,1.0,0.91,0.86,1.0,0.95,1.0,1.0,1.0,79.0,400.0
108,0.88,1.0,1.0,1.0,1.0,0.87,0.87,0.86,0.91,0.7,1.0,0.95,1.1,1.1,1.04,423.0,2400.0
109,1.0,1.0,1.0,1.0,1.0,0.87,1.0,0.86,0.82,0.7,1.1,0.95,0.91,1.0,1.0,190.0,420.0
110,1.0,1.0,1.15,1.0,1.06,1.1,1.0,0.86,0.91,1.0,1.0,0.95,0.91,1.0,1.04,47.5,252.0
111,1.4,1.0,1.65,1.11,1.06,0.87,0.87,1.0,0.91,1.0,1.0,1.0,1.1,0.91,1.0,21.0,107.0
112,1.0,1.08,1.15,1.3,1.0,1.1,1.07,0.86,0.91,0.86,1.0,0.95,1.1,1.1,1.04,78.0,571.4
113,1.0,1.08,1.15,1.3,1.0,1.1,1.07,0.86,0.91,0.86,1.0,0.95,1.1,1.1,1.04,11.4,98.8
114,1.0,1.08,1.15,1.3,1.0,1.1,1.07,0.86,0.91,0.86,1.0,0.95,1.1,1.1,1.04,19.3,155.0
115,1.15,1.0,1.3,1.11,1.06,0.87,1.07,0.86,1.0,1.0,0.9,0.95,1.1,0.83,1.04,101.0,750.0
116,1.15,1.0,1.15,1.11,1.06,0.87,1.07,1.0,0.91,1.0,1.0,1.0,1.1,0.83,1.0,219.0,2120.0
117,1.15,1.0,1.15,1.11,1.06,0.87,1.07,1.0,0.91,1.0,1.0,1.0,1.1,0.83,1.0,50.0,370.0
118,1.4,1.08,1.15,1.3,1.21,1.1,1.0,0.71,0.82,0.7,1.0,0.95,0.91,0.91,1.08,227.0,1181.0
119,1.0,1.08,1.3,1.0,1.0,0.87,1.0,0.86,1.0,0.7,1.1,1.0,0.91,1.0,1.08,70.0,278.0
120,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,0.9,8.4
121,1.4,0.94,1.65,1.66,1.21,0.87,0.87,0.86,0.82,0.86,1.21,0.95,1.24,1.24,1.04,980.0,4560.0
122,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.71,1.0,0.7,0.9,0.95,1.0,1.1,1.0,350.0,720.0
123,1.15,1.0,1.65,1.11,1.06,0.87,0.87,0.86,1.0,1.0,0.9,0.95,0.91,0.91,1.0,70.0,458.0
124,1.15,1.0,1.65,1.11,1.06,0.87,0.87,0.86,1.0,1.0,0.9,0.95,0.91,0.91,1.0,271.0,2460.0
125,1.0,1.0,1.0,1.0,1.0,0.87,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.1,1.0,90.0,162.0
126,1.0,1.0,1.0,1.0,1.0,0.87,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.1,1.0,40.0,150.0
127,1.15,1.0,1.15,1.11,1.0,0.87,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.0,1.0,137.0,636.0
128,1.15,1.0,1.15,1.11,1.0,1.15,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.24,1.0,150.0,882.0
129,1.4,1.0,1.15,1.11,1.0,0.87,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.0,1.0,339.0,444.0
130,0.88,1.08,0.85,1.0,1.0,1.15,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.1,1.0,240.0,192.0
131,1.15,1.0,1.15,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,144.0,576.0
132,1.0,0.94,1.0,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,151.0,432.0
133,1.0,0.94,1.15,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,34.0,72.0
134,1.0,1.0,1.15,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,98.0,300.0
135,1.0,1.0,1.15,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,85.0,300.0
136,1.0,0.94,1.0,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,20.0,240.0
137,1.0,0.94,1.0,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,111.0,600.0
138,1.15,1.16,1.15,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,162.0,756.0
139,1.15,1.08,1.3,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,352.0,1200.0
140,1.15,1.0,1.3,1.0,1.21,0.87,1.0,0.86,0.91,0.86,0.9,0.95,1.1,1.1,1.08,165.0,97.0
141,1.15,1.0,1.3,1.11,1.06,0.87,1.15,0.86,1.0,1.0,0.9,0.95,0.91,0.83,1.04,60.0,409.0
142,1.15,1.0,1.3,1.11,1.06,0.87,1.15,0.86,1.0,1.0,0.9,0.95,0.91,0.83,1.04,100.0,703.0
143,1.15,1.16,1.3,1.66,1.56,1.15,1.07,1.0,1.0,1.0,1.1,1.07,1.0,1.0,1.04,32.0,1350.0
144,1.15,1.08,1.15,1.3,1.56,1.15,1.07,0.86,0.91,0.86,0.9,0.95,0.91,1.0,1.0,53.0,480.0
145,1.15,0.94,1.3,1.3,1.56,0.87,1.0,0.71,0.82,0.7,1.21,1.14,0.91,0.91,1.0,41.0,599.0
146,1.15,0.94,1.3,1.3,1.56,0.87,1.0,0.71,0.82,0.7,1.21,1.14,0.91,0.91,1.0,24.0,430.0
147,1.4,1.08,1.3,1.66,1.56,1.1,1.0,0.86,0.91,0.86,0.9,0.95,0.91,1.0,1.04,165.0,4178.2
148,1.4,1.08,1.3,1.66,1.56,1.1,1.0,0.86,0.91,0.86,0.9,0.95,0.91,1.0,1.04,65.0,1772.5
149,1.4,1.08,1.3,1.66,1.56,1.1,0.87,0.86,0.91,0.86,0.9,0.95,0.91,1.0,1.04,70.0,1645.9
150,1.4,1.08,1.65,1.66,1.56,1.1,1.0,0.86,0.91,0.86,0.9,0.95,0.91,1.0,1.04,50.0,1924.5
151,1.4,0.94,1.3,1.3,1.56,0.87,0.87,0.86,1.13,1.0,1.21,1.07,1.1,0.91,1.04,7.25,648.0
152,1.4,1.08,1.3,1.66,1.56,1.1,1.0,0.86,0.91,0.86,0.9,0.95,0.91,1.0,1.04,233.0,8211.0
153,1.15,1.0,1.3,1.3,1.21,1.15,1.07,1.0,1.0,1.0,1.1,1.07,1.0,1.0,1.04,16.3,480.0
154,1.15,1.0,1.3,1.3,1.21,1.15,1.07,1.0,1.0,1.0,1.1,1.07,1.0,1.0,1.04,6.2,12.0
155,1.15,1.0,1.3,1.3,1.21,1.15,1.07,1.0,1.0,1.0,1.1,1.07,1.0,1.0,1.04,3.0,38.0
